STATE/UT,DISTRICT,TOTAL IPC CRIMES,CRIME_RATE
JAMMU & KASHMIR,BARAMULLA,17683,0.06823329667573459
JAMMU & KASHMIR,BORDER,3451,0.013316355077077425
JAMMU & KASHMIR,BORDER DISTRICT,1192,0.004599563967509791
JAMMU & KASHMIR,BUDGAM,13673,0.052759931315236056
JAMMU & KASHMIR,CRIME JAMMU,369,0.0014238583087341553
JAMMU & KASHMIR,CRIME KASHMIR,32,0.0001234782273156991
JAMMU & KASHMIR,CRIME SRINAGAR,686,0.0026470644980802994
JAMMU & KASHMIR,DODA,8995,0.034708957959522294
JAMMU & KASHMIR,GANDERBAL,5961,0.023001678532152573
JAMMU & KASHMIR,HANDWARA,4887,0.01885744052786942
JAMMU & KASHMIR,JAMMU,43451,0.16766413922170129
JAMMU & KASHMIR,KARGIL,1189,0.004587987883698945
JAMMU & KASHMIR,KATHUA,12652,0.04882020412494453
JAMMU & KASHMIR,KISHTWAR,1750,0.006752715556327294
JAMMU & KASHMIR,KULGAM,7745,0.029885589705002796
JAMMU & KASHMIR,KUPWARA,7955,0.030695915571762072
JAMMU & KASHMIR,LEH,2168,0.008365649900638613
JAMMU & KASHMIR,POONCH,8981,0.034654936235071675
JAMMU & KASHMIR,PULWAMA,8754,0.03377901256005093
JAMMU & KASHMIR,RAILWAYS,242,0.0009338040940749745
JAMMU & KASHMIR,RAILWAYS JAMMU,29,0.0001119021435048523
JAMMU & KASHMIR,RAILWAYS KASHMIR,43,0.00016592386795547066
JAMMU & KASHMIR,RAILWAYS KATRA,2,7.717389207231193e-06
JAMMU & KASHMIR,RAILWAYS KMR,10,3.858694603615597e-05
JAMMU & KASHMIR,RAJOURI,16348,0.06308193937990778
JAMMU & KASHMIR,RAMBAN,7908,0.03051455692539214
JAMMU & KASHMIR,REASI,5070,0.019563581640331076
JAMMU & KASHMIR,SAMBA,3497,0.013493855028843742
JAMMU & KASHMIR,SHOPIAN,2578,0.009947714688121008
JAMMU & KASHMIR,SOPORE,1952,0.007532171866257645
JAMMU & KASHMIR,SRINAGAR,33733,0.13016534506376493
JAMMU & KASHMIR,TOTAL,259155,1.0
JAMMU & KASHMIR,UDHAMPUR,12413,0.047897976114680406
JHARKHAND,BOKARO,30448,0.07209169624317215
JHARKHAND,CHAIBASA,10278,0.024335209340098637
JHARKHAND,CHATRA,10667,0.025256244213935804
